Proporção: | readers |66| writers |34| Execução |1| tempo | 15662|ms
Proporção: | readers |67| writers |33| Execução |0| tempo | 14901|ms
Proporção: | readers |67| writers |33| Execução |1| tempo | 9092|ms
Proporção: | readers |68| writers |32| Execução |0| tempo | 14007|ms
Proporção: | readers |68| writers |32| Execução |1| tempo | 17153|ms
Proporção: | readers |68| writers |32| Execução |0| tempo | 14428|ms
Proporção: | readers |68| writers |32| Execução |1| tempo | 15063|ms
Proporção: | readers |69| writers |31| Execução |0| tempo | 14039|ms
Proporção: | readers |69| writers |31| Execução |1| tempo | 14366|ms
Proporção: | readers |70| writers |30| Execução |0| tempo | 9634|ms
Proporção: | readers |70| writers |30| Execução |1| tempo | 13363|ms
Proporção: | readers |71| writers |29| Execução |0| tempo | 13258|ms
Proporção: | readers |71| writers |29| Execução |1| tempo | 15928|ms
Proporção: | readers |72| writers |28| Execução |0| tempo | 14863|ms
Proporção: | readers |72| writers |28| Execução |1| tempo | 17063|ms
Proporção: | readers |73| writers |27| Execução |0| tempo | 16417|ms
Proporção: | readers |73| writers |27| Execução |1| tempo | 16227|ms
Proporção: | readers |74| writers |26| Execução |0| tempo | 17727|ms
Proporção: | readers |74| writers |26| Execução |1| tempo | 15717|ms
Proporção: | readers |75| writers |25| Execução |0| tempo | 19326|ms
Proporção: | readers |75| writers |25| Execução |1| tempo | 15671|ms
Proporção: | readers |76| writers |24| Execução |0| tempo | 9920|ms
Proporção: | readers |76| writers |24| Execução |1| tempo | 14206|ms
Proporção: | readers |77| writers |23| Execução |0| tempo | 14532|ms
Proporção: | readers |77| writers |23| Execução |1| tempo | 17448|ms
Proporção: | readers |78| writers |22| Execução |0| tempo | 14712|ms
Proporção: | readers |78| writers |22| Execução |1| tempo | 20099|ms
Proporção: | readers |79| writers |21| Execução |0| tempo | 10905|ms
Proporção: | readers |79| writers |21| Execução |1| tempo | 16714|ms
Proporção: | readers |80| writers |20| Execução |0| tempo | 11325|ms
Proporção: | readers |80| writers |20| Execução |1| tempo | 16472|ms
Proporção: | readers |81| writers |19| Execução |0| tempo | 13287|ms
Proporção: | readers |81| writers |19| Execução |1| tempo | 16313|ms
Proporção: | readers |82| writers |18| Execução |0| tempo | 12428|ms
