Proporção: | readers |4| writers |96| Execução |37| tempo | 125|ms
Proporção: | readers |4| writers |96| Execução |38| tempo | 130|ms
Proporção: | readers |4| writers |96| Execução |39| tempo | 125|ms
Proporção: | readers |4| writers |96| Execução |40| tempo | 126|ms
Proporção: | readers |4| writers |96| Execução |41| tempo | 148|ms
Proporção: | readers |4| writers |96| Execução |42| tempo | 124|ms
Proporção: | readers |4| writers |96| Execução |43| tempo | 127|ms
Proporção: | readers |4| writers |96| Execução |44| tempo | 141|ms
Proporção: | readers |4| writers |96| Execução |45| tempo | 131|ms
Proporção: | readers |4| writers |96| Execução |46| tempo | 124|ms
Proporção: | readers |4| writers |96| Execução |47| tempo | 127|ms
Proporção: | readers |4| writers |96| Execução |48| tempo | 131|ms
Proporção: | readers |4| writers |96| Execução |49| tempo | 125|ms
Proporção: | readers |5| writers |95| Execução |0| tempo | 368|ms
Proporção: | readers |5| writers |95| Execução |1| tempo | 354|ms
Proporção: | readers |5| writers |95| Execução |2| tempo | 365|ms
Proporção: | readers |5| writers |95| Execução |3| tempo | 242|ms
Proporção: | readers |5| writers |95| Execução |4| tempo | 145|ms
Proporção: | readers |5| writers |95| Execução |5| tempo | 143|ms
Proporção: | readers |5| writers |95| Execução |6| tempo | 146|ms
Proporção: | readers |5| writers |95| Execução |7| tempo | 145|ms
Proporção: | readers |5| writers |95| Execução |8| tempo | 148|ms
Proporção: | readers |5| writers |95| Execução |9| tempo | 134|ms
Proporção: | readers |5| writers |95| Execução |10| tempo | 125|ms
Proporção: | readers |5| writers |95| Execução |11| tempo | 130|ms
Proporção: | readers |5| writers |95| Execução |12| tempo | 134|ms
Proporção: | readers |5| writers |95| Execução |13| tempo | 128|ms
Proporção: | readers |5| writers |95| Execução |14| tempo | 124|ms
Proporção: | readers |5| writers |95| Execução |15| tempo | 131|ms
Proporção: | readers |5| writers |95| Execução |16| tempo | 123|ms
Proporção: | readers |5| writers |95| Execução |17| tempo | 137|ms
Proporção: | readers |5| writers |95| Execução |18| tempo | 128|ms
Proporção: | readers |5| writers |95| Execução |19| tempo | 129|ms
Proporção: | readers |5| writers |95| Execução |20| tempo | 135|ms
Proporção: | readers |5| writers |95| Execução |21| tempo | 132|ms
Proporção: | readers |5| writers |95| Execução |22| tempo | 127|ms
Proporção: | readers |5| writers |95| Execução |23| tempo | 132|ms
Proporção: | readers |5| writers |95| Execução |24| tempo | 114|ms
Proporção: | readers |5| writers |95| Execução |25| tempo | 142|ms
Proporção: | readers |5| writers |95| Execução |26| tempo | 127|ms
Proporção: | readers |5| writers |95| Execução |27| tempo | 131|ms
Proporção: | readers |5| writers |95| Execução |28| tempo | 125|ms
Proporção: | readers |5| writers |95| Execução |29| tempo | 127|ms
Proporção: | readers |5| writers |95| Execução |30| tempo | 132|ms
Proporção: | readers |5| writers |95| Execução |31| tempo | 140|ms
Proporção: | readers |5| writers |95| Execução |32| tempo | 127|ms
Proporção: | readers |5| writers |95| Execução |33| tempo | 140|ms
Proporção: | readers |5| writers |95| Execução |34| tempo | 124|ms
Proporção: | readers |5| writers |95| Execução |35| tempo | 138|ms
Proporção: | readers |5| writers |95| Execução |36| tempo | 134|ms
Proporção: | readers |5| writers |95| Execução |37| tempo | 130|ms
Proporção: | readers |5| writers |95| Execução |38| tempo | 129|ms
Proporção: | readers |5| writers |95| Execução |39| tempo | 141|ms
Proporção: | readers |5| writers |95| Execução |40| tempo | 129|ms
Proporção: | readers |5| writers |95| Execução |41| tempo | 126|ms
Proporção: | readers |5| writers |95| Execução |42| tempo | 133|ms
Proporção: | readers |5| writers |95| Execução |43| tempo | 131|ms
Proporção: | readers |5| writers |95| Execução |44| tempo | 135|ms
Proporção: | readers |5| writers |95| Execução |45| tempo | 131|ms
Proporção: | readers |5| writers |95| Execução |46| tempo | 129|ms
Proporção: | readers |5| writers |95| Execução |47| tempo | 124|ms
Proporção: | readers |5| writers |95| Execução |48| tempo | 132|ms
