Proporção: | readers |3| writers |97| Execução |17| tempo | 11853|ms
Proporção: | readers |3| writers |97| Execução |18| tempo | 13780|ms
Proporção: | readers |3| writers |97| Execução |19| tempo | 12317|ms
Proporção: | readers |3| writers |97| Execução |20| tempo | 12096|ms
Proporção: | readers |3| writers |97| Execução |21| tempo | 11913|ms
Proporção: | readers |3| writers |97| Execução |22| tempo | 11015|ms
Proporção: | readers |3| writers |97| Execução |23| tempo | 13158|ms
Proporção: | readers |3| writers |97| Execução |24| tempo | 12059|ms
Proporção: | readers |3| writers |97| Execução |25| tempo | 11274|ms
Proporção: | readers |3| writers |97| Execução |26| tempo | 10508|ms
Proporção: | readers |3| writers |97| Execução |27| tempo | 12903|ms
Proporção: | readers |3| writers |97| Execução |28| tempo | 10069|ms
Proporção: | readers |3| writers |97| Execução |29| tempo | 12532|ms
Proporção: | readers |3| writers |97| Execução |30| tempo | 12796|ms
